provincia,departamento,2021,2022,2023
Neuquen,Pehuenches,36189,37286,38372
Neuquen,Picún Leufú,5330,5375,5421
Neuquen,Picunches,8130,8188,8243
Neuquen,Zapala,40588,40803,41015
Misiones,Apóstoles,47819,48244,48661
Misiones,Cainguás,61382,61998,62605
Misiones,Candelaria,32893,33360,33819
Misiones,Capital,375429,379374,383246
Misiones,Concepción,10328,10381,10433
Misiones,Eldorado,91543,92588,93613
Misiones,General Manuel Belgrano,54289,55209,56113
Misiones,Guaraní,80568,81567,82549
Misiones,Iguazú,101413,102952,104465
Misiones,Leandro N. Alem,49817,50167,50512
Misiones,Libertador General San Martín,52133,52552,52963
Misiones,Montecarlo,40490,40765,41035
Misiones,Oberá,122934,124122,125290
Misiones,San Ignacio,61963,62254,62541
Misiones,San Javier,23139,23304,23466
Misiones,San Pedro,39863,40578,41281
Misiones,25 de Mayo,28989,29061,29131
Mendoza,Capital,120051,120246,120437
Mendoza,General Alvear,50993,51288,51580
Mendoza,Godoy Cruz,207466,208408,209332
Mendoza,Guaymallén,336466,340402,344264
Mendoza,Junín,43382,43778,44167
Mendoza,La Paz,10886,10940,10993
Mendoza,Las Heras,238291,240841,243346
Mendoza,Lavalle,44653,45255,45847
Mendoza,Luján de Cuyo,145283,147214,149110
Mendoza,Maipú,203581,205905,208189
Mendoza,Malargüe,35246,35839,36421
Mendoza,Rivadavia,64071,64615,65149
Mendoza,San Carlos,39910,40466,41013
Mendoza,San Martín,136334,137645,138931
Mendoza,San Rafael,215131,217068,218973
Mendoza,Santa Rosa,17852,17944,18035
Mendoza,Tunuyán,61349,62266,63168
Mendoza,Tupungato,39418,39941,40456
La rioja,Arauco,18309,18533,18755
La rioja,Capital,226872,230610,234308
La rioja,Castro Barros,4566,4580,4594
La rioja,Chamical,15775,15884,15994
La rioja,Chilecito,60721,61622,62516
La rioja,Coronel Felipe Varela,9844,9835,9826
La rioja,Famatina,5641,5608,5575
La rioja,General Angel V. Peñaloza,3188,3191,3193
La rioja,General Belgrano,8033,8075,8115
La rioja,General Juan F. Quiroga,3777,3736,3702
La rioja,General Lamadrid,1851,1857,1864
La rioja,General Ocampo,7197,7182,7166
La rioja,General San Martín,5208,5220,5230
La rioja,Independencia,2596,2604,2614
